,ride_id,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
49673,3425144FD631C5E9,Broadway & W 29 St,W 20 St & 10 Ave,40.7462009,-73.98855723,40.745686,-74.005141,1
171551,847BF795CEB319C5,W 84 St & Columbus Ave,W 37 St & Broadway,40.785015583,-73.972779393,40.75227093837409,-73.98770570755005,1
5506,DBE97255674828A1,Henry St & Grand St,Rivington St & Chrystie St,40.714211,-73.981095,40.72110063,-73.9919254,1
38370,934EF2EFA5FB6F92,Hanson Pl & Ashland Pl,Atlantic Ave & Fort Greene Pl,40.68506807308177,-73.97790759801863,40.68382604,-73.97632328,1
36930,41615A0AEFCB0CC0,28 St & 36 Ave,Motorgate,40.757186,-73.932719,40.7639089,-73.9477213,1
167783,F37637008D6AD73D,E 10 St & Avenue A,E 13 St & 2 Ave,40.72740794,-73.98142006,40.73153937464073,-73.9853024482727,1
67487,B826789648B8480D,W 13 St & 5 Ave,E 12 St & 3 Ave,40.735445,-73.99431,40.73223272,-73.98889957,1
101486,F884FA0A2A46EA30,Queens Plaza North & Crescent St,W 34 St & 11 Ave,40.75110165,-73.94073717,40.75594159,-74.0021163,1
131774,925C843F2CEC3142,7 St & 5 Ave,DeKalb Ave & Vanderbilt Ave,40.6704922,-73.98541675,40.68940747,-73.96885458,1
48246,6B6912795686439B,W 24 St & 7 Ave,W 20 St & 10 Ave,40.74487634,-73.99529885,40.745686,-74.005141,1
147174,D3E82EACFD9B5C00,W 44 St & 11 Ave,W 34 St &\tHudson Blvd E,40.762009,-73.996975,40.75516719072139,-74.00059908628464,1
72470,9359CC9D285CB850,Sharon St & Olive St,Forsyth St\t& Grand St,40.715365171,-73.938556433,40.71779817737835,-73.99316132068634,1
20386,28B4921D188AE884,E 20 St & Park Ave,Broadway & E 21 St,40.73827428,-73.98751968,40.73988840858996,-73.98958593606949,1
6389,6FE3F50A3A67D362,W 51 St & 6 Ave,Broadway & E 21 St,40.760462046,-73.980459452,40.73988840858996,-73.98958593606949,1
171910,2FBE6B64F26776FF,W 84 St & Columbus Ave,5 Ave & E 78 St,40.78499979,-73.97283406,40.77632142182271,-73.96427392959595,1
105548,56E44AF4C55C3C56,Sharon St & Olive St,Melrose St & Broadway,40.71534162042448,-73.93865078687668,40.697481,-73.935877,1
180639,627806FF49947682,Broadway & E 19 St,W 51 St & Rockefeller Plaza,40.73866091428551,-73.98987293243407,40.75973805251143,-73.97811613976955,1
155152,1A28C230669CF151,St Mary's St & Jackson Ave,E 141 St & St Ann's Ave,40.808891,-73.91081,40.808633,-73.916124,1
140357,1B757E93EB3B8FF9,7 Ave S & Bleecker St,E 23 St & 1 Ave,40.73213896287381,-74.00363802909851,40.736502,-73.97809472,1
177097,880673A9905C9ECB,8 Ave & W 33 St,W 51 St & Rockefeller Plaza,40.751551,-73.993934,40.75973805251143,-73.97811613976955,1
12263,8D40992AB6365E4E,Greenwich Ave & 8 Ave,1 Ave & E 16 St,40.7390169121,-74.0026376103,40.73221853,-73.98165557,1
69261,728FB2E7912227AE,E 20 St & Park Ave,E 20 St & 2 Ave,40.73827428,-73.98751968,40.73587678,-73.98205027,1
83404,FAD85B0D9506ED1E,W 54 St & 11 Ave,E 44 St & Lexington Ave,40.768333,-73.992573,40.752643,-73.974996,1
176923,50A3FC2839A7AB83,11 Ave & W 27 St,W 51 St & Rockefeller Plaza,40.751396,-74.005226,40.75973805251143,-73.97811613976955,1
76238,AD68C42F914251DC,Madison Ave & E 26 St,8 Ave & W 38 St,40.742684734875695,-73.98671329021454,40.75461,-73.99177,1
193280,5870D81E1F684C0E,Perry St & Greenwich Ave,Spring St & Hudson St,40.735949993,-74.001237869,40.72583996792375,-74.0076532959938,1
173641,C67F5B8CF057739D,5 Ave & E 103 St,W 106 St & Amsterdam Ave,40.7922553,-73.95249933,40.8008363,-73.9664492472,1
