start_station_name,value
W 21 St & 6 Ave,131679
West St & Chambers St,126290
Broadway & W 58 St,117797
6 Ave & W 33 St,109542
1 Ave & E 68 St,108412
Broadway & E 14 St,101115
Broadway & W 25 St,100784
University Pl & E 14 St,100089
Broadway & E 21 St,97958
W 31 St & 7 Ave,96157
E 33 St & 1 Ave,93955
Cleveland Pl & Spring St,92880
12 Ave & W 40 St,92550
6 Ave & W 34 St,92487
11 Ave & W 41 St,90159
West St & Liberty St,89417
Lafayette St & E 8 St,89318
Central Park S & 6 Ave,89062
8 Ave & W 33 St,88789
E 40 St & Park Ave,87752
